timestamp,split,C_out_status,Temp_C,C_in_gNm3,C_in_mgNm3,Q_Nm3h,dust_load_kg_h,U1_kV,U2_kV,U3_kV,U4_kV,U_mean_kV,U_sum_kV,U_sq_sum_kV2,U_front_back_gradient_kV,T1_s,T2_s,T3_s,T4_s,T_mean_s,T_min_s,T_max_s,T_std_s,rapping_rate1_per_min,rapping_rate2_per_min,rapping_rate3_per_min,rapping_rate4_per_min,rapping_rate_total_per_min,cycle_dust_load_proxy1_kg,cycle_dust_load_proxy2_kg,cycle_dust_load_proxy3_kg,cycle_dust_load_proxy4_kg,cycle_dust_load_proxy_max_kg,C_out_mgNm3,C_out_status_code,C_out_missing_flag,C_out_exact_flag,C_out_cap50_flag,penetration_recorded_or_lower_bound,efficiency_recorded_or_upper_bound,removal_index_recorded_or_upper_bound,removal_index_is_upper_bound_flag,required_efficiency_10mg,required_efficiency_5mg,required_removal_index_10mg,required_removal_index_5mg,required_index_increment_5_vs_10,removal_index_gap_to_10_lower_bound,removal_index_gap_to_5_lower_bound,P_total_kW,specific_energy_kWh_per_1000Nm3,minute_index,day_index,hour,hour_sin,hour_cos,condition_cluster,predictor_outside_train_support_count,predictor_outside_train_support_any_flag,Temp_C_outside_train_range_flag,C_in_gNm3_outside_train_range_flag,Q_Nm3h_outside_train_range_flag,U1_kV_outside_train_range_flag,U2_kV_outside_train_range_flag,U3_kV_outside_train_range_flag,U4_kV_outside_train_range_flag,T1_s_outside_train_range_flag,T2_s_outside_train_range_flag,T3_s_outside_train_range_flag,T4_s_outside_train_range_flag,P_total_kW_outside_train_range_flag
2024-05-01 00:00:00,train,right_censored_at_50,125.5,36.24,36240,474789,17206.35336,55,56.7,45.8,52.1,52.4,209.6,11051.94,13.8,203,218,379,385,296.25,203,385,85.9400226902,0.295566502463,0.275229357798,0.158311345646,0.155844155844,0.884951361752,970.2471478,1041.9402868,1811.4466454,1840.123901,1840.123901,50,2,0,0,1,0.00137969094923,0.998620309051,6.58589575473,1,0.99972406181,0.999862030905,8.19533366716,8.88848084772,0.69314718056,1.60943791243,2.30258509299,1808.4,3.80884982592,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:01:00,train,exact,123.8,34.67,34670,449604,15587.77068,57.7,57.7,47.4,45.8,52.15,208.6,11002.98,22.2,206,237,389,406,309.5,206,406,88.8833505219,0.291262135922,0.253164556962,0.154241645244,0.147783251232,0.84645158936,891.9668778,1026.1949031,1684.3452207,1757.9541378,1757.9541378,49.7,1,0,1,0,0.00143351600808,0.998566483992,6.54762510558,0,0.999711566196,0.999855783098,8.15104494569,8.84419212624,0.69314718056,1.60341984011,2.29656702067,1760.2,3.91500075622,1,1,0.0166666666667,0.00436330928475,0.999990480721,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:02:00,train,right_censored_at_50,126.1,36.65,36650,462320,16944.028,57.1,59.3,48.7,45.7,52.7,210.8,11237.08,22,211,218,393,403,306.25,211,403,91.8514425581,0.284360189573,0.275229357798,0.152671755725,0.14888337469,0.861144677787,993.108307778,1026.05502889,1849.72305667,1896.78980111,1896.78980111,50,2,0,0,1,0.00136425648022,0.99863574352,6.59714570189,1,0.999727148704,0.999863574352,8.20658361432,8.89973079488,0.69314718056,1.60943791243,2.30258509299,1791.2,3.87437272885,2,1,0.0333333333333,0.00872653549837,0.999961923064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:03:00,train,right_censored_at_50,125.4,38.86,38860,472731,18370.32666,59.9,57.3,50.5,46.8,53.625,214.5,11611.79,19.9,213,201,397,390,300.25,201,397,93.3792669708,0.281690140845,0.298507462687,0.151133501259,0.153846153846,0.885177258637,1086.91099405,1025.67657185,2025.83880112,1990.1187215,2025.83880112,50,2,0,0,1,0.00128667009779,0.998713329902,6.6556977175,1,0.99974266598,0.99987133299,8.26513562994,8.9582828105,0.69314718056,1.60943791243,2.30258509299,1855.6,3.92527674301,3,1,0.05,0.0130895955713,0.999914327574,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:04:00,train,right_censored_at_50,124.5,34.48,34480,465055,16035.0964,59.4,57,48.7,49.2,53.575,214.3,11569.69,18.5,215,208,402,370,298.75,208,402,88.0152685618,0.279069767442,0.288461538462,0.149253731343,0.162162162162,0.878947199409,957.651590556,926.472236444,1790.58576467,1648.05157444,1790.58576467,50,2,0,0,1,0.00145011600928,0.998549883991,6.53611171935,1,0.999709976798,0.999854988399,8.14554963178,8.83869681234,0.69314718056,1.60943791243,2.30258509299,1851.4,3.9810345013,4,1,0.0666666666667,0.0174524064373,0.999847695156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:05:00,train,exact,124,34.5,34500,461733,15929.7885,57.6,56.8,48.3,49.2,52.975,211.9,11297.53,16.9,205,204,399,401,302.25,204,401,97.7531968787,0.292682926829,0.294117647059,0.15037593985,0.149625935162,0.8868024489,907.11295625,902.688015,1765.55155875,1774.40144125,1774.40144125,49.75,1,0,1,0,0.00144202898551,0.998557971014,6.54170413941,0,0.999710144928,0.999855072464,8.14612951003,8.83927669059,0.69314718056,1.60442537061,2.29757255117,1825.7,3.95401671529,5,1,0.0833333333333,0.0218148850346,0.99976202708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:06:00,train,exact,124.8,39.05,39050,452645,17675.78725,55.9,58.5,46.2,46.9,51.875,207.5,10881.11,21.3,216,210,412,397,308.75,210,412,95.9202142408,0.277777777778,0.285714285714,0.145631067961,0.151133501259,0.860256632713,1060.547235,1031.08758958,2022.89565194,1949.2465384,2022.89565194,49.82,1,0,1,0,0.00127580025608,0.998724199744,6.66418164543,0,0.999743918054,0.999871959027,8.27001306227,8.96316024283,0.69314718056,1.60583141684,2.2989785974,1764.9,3.8990820621,6,1,0.1,0.0261769483079,0.999657324976,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:07:00,train,right_censored_at_50,123.8,37.04,37040,449404,16645.92416,60.1,57.7,49.8,50,54.4,217.6,11921.34,18,216,223,391,391,305.25,216,391,85.7857068514,0.277777777778,0.269058295964,0.153452685422,0.153452685422,0.853741444586,998.7554496,1031.12252436,1807.93231849,1807.93231849,1807.93231849,50,2,0,0,1,0.00134989200864,0.998650107991,6.60773068333,1,0.999730021598,0.999865010799,8.21716859577,8.91031577633,0.69314718056,1.60943791243,2.30258509299,1862.4,4.14415537022,7,1,0.116666666667,0.0305385132098,0.999533590837,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:08:00,train,exact,125.2,33.97,33970,466684,15853.25548,57.9,59.4,47.5,47.1,52.975,211.9,11355.43,22.7,205,206,388,404,300.75,205,404,95.4184861544,0.292682926829,0.291262135922,0.154639175258,0.148514851485,0.887099089494,902.754825944,907.158508022,1708.62864618,1779.08755942,1779.08755942,49.91,1,0,1,0,0.00146923756256,0.998530762437,6.52301167767,0,0.999705622608,0.999852811304,8.13064796816,8.82379514872,0.69314718056,1.60763629049,2.30078347105,1838.5,3.93949653299,8,1,0.133333333333,0.0348994967025,0.999390827019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:09:00,train,exact,125.2,36.51,36510,472638,17256.01338,54.8,58.8,45.2,49.7,52.125,208.5,10973.61,18.7,189,203,373,396,290.25,189,396,94.7295492442,0.31746031746,0.295566502463,0.160857908847,0.151515151515,0.925399880286,905.94070245,973.04742115,1787.91471965,1898.1614718,1898.1614718,49.82,1,0,1,0,0.00136455765544,0.998635442345,6.59692496482,0,0.999726102438,0.999863051219,8.20275638166,8.89590356222,0.69314718056,1.60583141684,2.2989785974,1835.7,3.88394500654,9,1,0.15,0.0392598157591,0.999229036241,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
